Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
die-cut-stickers,,,,,,,,,White,,,Die-Cut,,,"4"" × 4""",,'16818760445833671270,99.7903214,,deny,manual,5.75,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/6591389507396721857_1200.jpg?v=1774318771,3,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/6591389507396721857_1200.jpg?v=1774318771,lb,,3.45,
die-cut-stickers,,,,,,,,,White,,,Die-Cut,,,"5"" × 5""",,'17037765409398612458,99.7903214,,deny,manual,6.33,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/11908828102476773499_1200.jpg?v=1774318775,4,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/11908828102476773499_1200.jpg?v=1774318775,lb,,3.80,
die-cut-stickers,,,,,,,,,White,,,Die-Cut,,,"6"" × 6""",,'77036475286064843006,99.7903214,,deny,manual,7.20,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/13284029993419698873_1200.jpg?v=1774318779,5,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/13284029993419698873_1200.jpg?v=1774318779,lb,,4.32,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/17650242836184205636_1200.jpg?v=1774318784,6,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/4703182041826101277_1200.jpg?v=1774318786,7,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/4458124027011961300_1200.jpg?v=1774318789,8,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/6724569991264150420_1200.jpg?v=1774318791,9,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/4256190916433841130_1200.jpg?v=1774318795,10,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/16240943375308945689_1200.jpg?v=1774318802,11,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/6153686037757435959_1200.jpg?v=1774318810,12,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/9200231098269590526_1200.jpg?v=1774318812,13,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/14378661162639118821_1200.jpg?v=1774318815,14,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/8461999358221177602_1200.jpg?v=1774318817,15,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/7986638319068000467_1200.jpg?v=1774318819,16,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/17453879673591098920_1200.jpg?v=1774318827,17,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
die-cut-stickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/9543703060204135221_1200.jpg?v=1774318830,18,Charmed and Dark gothic die-cut sticker with dark alternative design on white background,,,,,,,,,,,,,,,
womens-ringer-tee,Charmed by Night Women's Ringer Tee,"<p>Throwback vibes meet modern comfort in this women’s cropped ringer tee - a perfect blend of vintage style and contemporary fit. Crafted from a soft 60% cotton / 40% polyester blend, it’s breathable with just the right amount of stretch to hug the body while allowing ease of movement. The cropped length and contrast trim at the collar and sleeves give this tee its iconic retro edge. Whether styled with high-waisted jeans, joggers, or layered under a jacket, it makes a statement effortlessly. </p><br><p>.: Material: 60% Cotton / 40% Polyester<br>.: Cropped length<br>.: Body-hugging fit<br>.: Retro inspired tee with standout trim details</p>",Printify,,T-Shirt,"Cropped, DTG, Early Access, T-shirts, Women's Clothing",true,Color,White / Caviar,,Size,S,,,,,'17664793904454098410,99.7903214,,deny,manual,24.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,1,Cropped women's ringer tee in black and white with Charmed by Night gothic graphic design,false,Charmed by Night Women's Ringer Tee | Gothic Fashion,Vintage-inspired cropped ringer tee with gothic Charmed & Dark design. 60/40 cotton-poly blend. Retro silhouette meets dark alternative style.,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,11.73,active
womens-ringer-tee,,,,,,,,,White / Caviar,,,M,,,,,'31301435266659958656,99.7903214,,deny,manual,24.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/7686634147742882140_2048.jpg?v=1774318761,2,Cropped women's ringer tee in black and white with Charmed by Night gothic graphic design,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,11.73,
womens-ringer-tee,,,,,,,,,White / Caviar,,,L,,,,,'92373709259376421597,99.7903214,,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,11.73,
womens-ringer-tee,,,,,,,,,White / Caviar,,,XL,,,,,'23931868107945985570,99.7903214,,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,11.73,
womens-ringer-tee,,,,,,,,,White / Caviar,,,2XL,,,,,'24701103847769864682,99.7903214,,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,11.73,
womens-ringer-tee,,,,,,,,,White / Caviar,,,3XL,,,,,'40191547343152611267,99.7903214,,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,12.92,
womens-ringer-tee,,,,,,,,,White / Caviar,,,4XL,,,,,'12674527704571201393,99.7903214,,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,12.92,
womens-ringer-tee,,,,,,,,,White / Caviar,,,5XL,,,,,'14632184874489449825,99.7903214,,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1184965552612711244_2048.jpg?v=1774320298,lb,,12.92,
matte-canvas-stretched-1-26,Gothic Art Print — Matte Canvas (Small),"<p>Place your custom artwork, photos, or creative projects on a canvas you'll be proud to use. Each matte canvas comes with back hanging already included for convenient placement. The frame is made with profile radiata pine that is ethically sourced from renewable forests.<br><br>Please note: Domestic US shipping only for sizes 30"" x 60"" (Vertical), 40"" x 60"" (Vertical), 60"" x 30"" (Horizontal), and 60"" x 40"" (Horizontal).</p><br><p>.: Materials: cotton and polyester composite (canvas), pine wood (frame)<br>.: Comes in 60 different sizes (including vertical and horizontal orientations)<br>.: Horizontal, vertical and square options available<br>.: Soft rubber dots on bottom back corners for support<br>.: Back hanging included<br>.: Inner frame made with radiata pine sourced from renewable forests<br>.: Please note: Due to the production process of the canvases, please allow for slight size deviations with a tolerance +/- 1/8"" (3.2mm)<br>.: Please note: Domestic US shipping only for sizes 30"" x 60"" (Vertical), 40"" x 60"" (Vertical), 60"" x 30"" (Horizontal), and 60"" x 40"" (Horizontal)</p>",Printify,,Canvas,"Art & Wall Decor, Canvas, Decor, Hanging Hardware, Home & Living, Matte, Price Drop, Sustainable",true,Size,"9"" x 12"" (Vertical)",,Depth,"1.25""",,,,,'32146551019839421494,99.7903214,,deny,manual,18.81,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/463060913041055279_2048.jpg?v=1774318697,1,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,false,Gothic Art Print on Matte Canvas | Charmed & Dark Small,Dark gothic artwork on premium matte stretched canvas. Ethically sourced pine frame. Dark alternative wall art for gothic interiors.,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/463060913041055279_2048.jpg?v=1774318697,lb,,11.29,active
matte-canvas-stretched-1-26,,,,,,,,,11″ x 14″ (Vertical),,,"1.25""",,,,,'24213108393083816599,99.7903214,,deny,manual,20.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/10582816739061952612_2048.jpg?v=1774318700,2,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/10582816739061952612_2048.jpg?v=1774318700,lb,,12.00,
matte-canvas-stretched-1-26,,,,,,,,,"24"" x 30"" (Vertical)",,,"1.25""",,,,,'13273768973454252332,99.7903214,,deny,manual,57.11,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/5357845035615796507_2048.jpg?v=1774318704,3,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/5357845035615796507_2048.jpg?v=1774318704,lb,,34.27,
matte-canvas-stretched-1-26,,,,,,,,,"24"" x 36"" (Vertical)",,,"1.25""",,,,,'90400941626013450776,99.7903214,,deny,manual,57.56,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/16635269765093675184_2048.jpg?v=1774318717,4,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/16635269765093675184_2048.jpg?v=1774318717,lb,,34.54,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/11927037472022018807_2048.jpg?v=1774318720,5,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/139640679897270573_2048.jpg?v=1774318722,6,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1828489696383859811_2048.jpg?v=1774318725,7,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/3367324928752316714_2048.jpg?v=1774318728,8,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/10601212529022290757_2048.jpg?v=1774318731,9,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1039421825649574040_2048.jpg?v=1774318738,10,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/13064876796396794394_2048.jpg?v=1774318741,11,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/1468294255671541057_2048.jpg?v=1774318747,12,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/6017748016390162140_2048.jpg?v=1774318750,13,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/16128213873104292922_2048.jpg?v=1774318752,14,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/5415772705327880320_2048.jpg?v=1774318755,15,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/16105777724328395799_2048.jpg?v=1774318758,16,Small matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-25,Gothic Art Print — Matte Canvas (Large),"<p>Place your custom artwork, photos, or creative projects on a canvas you'll be proud to use. Each matte canvas comes with back hanging already included for convenient placement. The frame is made with profile radiata pine that is ethically sourced from renewable forests.<br><br>Please note: Domestic US shipping only for sizes 30"" x 60"" (Vertical), 40"" x 60"" (Vertical), 60"" x 30"" (Horizontal), and 60"" x 40"" (Horizontal).</p><br><p>.: Materials: cotton and polyester composite (canvas), pine wood (frame)<br>.: Comes in 60 different sizes (including vertical and horizontal orientations)<br>.: Horizontal, vertical and square options available<br>.: Soft rubber dots on bottom back corners for support<br>.: Back hanging included<br>.: Inner frame made with radiata pine sourced from renewable forests<br>.: Please note: Due to the production process of the canvases, please allow for slight size deviations with a tolerance +/- 1/8"" (3.2mm)<br>.: Please note: Domestic US shipping only for sizes 30"" x 60"" (Vertical), 40"" x 60"" (Vertical), 60"" x 30"" (Horizontal), and 60"" x 40"" (Horizontal)</p>",Printify,,Canvas,"Art & Wall Decor, Canvas, Decor, Hanging Hardware, Home & Living, Matte, Price Drop, Sustainable",true,Size,"15"" x 30"" (Vertical)",,Depth,"1.25""",,,,,'23424155797988919817,99.7903214,,deny,manual,49.61,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/13188804525448825711_2048.jpg?v=1774318569,1,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,false,Gothic Art Print on Matte Canvas | Charmed & Dark Large,Large dark gothic artwork on premium matte stretched canvas. Ethically sourced pine frame. Statement dark wall art for gothic spaces.,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/13188804525448825711_2048.jpg?v=1774318569,lb,,29.77,active
matte-canvas-stretched-1-25,,,,,,,,,24″ x 48″ (Vertical),,,"1.25""",,,,,'17861730176439719041,99.7903214,,deny,manual,75.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/17290803342470513011_2048.jpg?v=1774318581,2,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/17290803342470513011_2048.jpg?v=1774318581,lb,,45.00,
matte-canvas-stretched-1-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/3028154142762527241_2048.jpg?v=1774318584,3,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/17751526389473169384_2048.jpg?v=1774318586,4,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/5624121638385346026_2048.jpg?v=1774318589,5,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/17375223363782633018_2048.jpg?v=1774318598,6,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/5115501848950252249_2048.jpg?v=1774318601,7,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
matte-canvas-stretched-1-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0861/2079/2098/files/7797208763601046964_2048.jpg?v=1774318604,8,Large matte stretched canvas featuring dark gothic artwork from Charmed and Dark collection,,,,,,,,,,,,,,,
